_resultItemCode,_resultItemName,_resultItemType,_resultitemInstallation,_recipeDatas,_recipeDatas,_recipeDatas,_recipeDatas,_recipeDatas,_recipeDatas
3,Dirt,STUFF,NONE,0_1,,,,,
4,Sand,STUFF,NONE,0_1,,,,,
5,Stone,STUFF,NONE,0_1,,,,,
6,Iron Ore,STUFF,NONE,0_1,,,,,
7,Electric Stone,STUFF,NONE,0_1,,,,,
8,Copper,STUFF,TEST,2_3,,,,,
9,Glass,STUFF,TEST,4_3,,,,,
10,Iron,STUFF,TEST,6_3,,,,,
11,Rope,STUFF,NONE,1_3,,,,,
12,Synthetic Fiber,STUFF,NONE,1_3,11_2,,,,
13,Wire,STUFF,NONE,1_3,2_3,,,,
14,Nail,STUFF,NONE,2_5,,,,,
15,Bolts and Nuts,STUFF,NONE,10_3,,,,,
16,Circuit,STUFF,NONE,8_5,13_3,,,,
17,Hinge,STUFF,NONE,10_5,,,,,
18,Steel,STUFF,NONE,10_5,,,,,
19,Hose,STUFF,NONE,0_5,12_2,,,,
20,Space-Processing Food,FOOD,NONE,0_1,,,,,
21,Potato,FOOD,NONE,1_1,,,,,
22,Snap Gun,TOOL,NONE,2_1,,,,,
23,Crafting Tool,TOOL,NONE,2_1,,,,,
24,Simple Solar Generator,INSTALL,NONE,2_10,13_5,,,,
25,Filter,INSTALL,NONE,0_10,12_5,19_5,,,
26,Simple Water tank,INSTALL,NONE,0_10,19_5,25_1,,,
27,Simplified purifier,INSTALL,NONE,0_5,13_5,18_3,,,
28,small Storage,INSTALL,NONE,2_3,,,,,
29,Big Storage,INSTALL,NONE,2_5,,,,,
30,Potato Grower,INSTALL,NONE,7_1,,,,,
31,Ladder,INSTALL,NONE,2_3,,,,,
32,Light,INSTALL,NONE,0_2,2_2,,,,
